HIGH FREQUENCY PUNCTUALITY BY ROUTE - DUBLIN BUS (see note on interpretation of this data at bottom of table)
2019
Route P6 P5 P4 P3 P2 P1
1 1.78 1.98 1.53 1.50 1.28 1.07
123 2.23 2.54 1.95 1.77 1.80 1.48
13 1.94 1.85 1.58 3.54 3.12 2.56
130 1.61 1.44 1.04 1.29 0.98 1.20
14 1.91 1.57 1.77 1.39 1.35 1.63
140 1.05 1.17 1.03 0.98 0.95 1.16
145 1.92 1.72 1.74 1.76 1.74 1.95
15 1.85 1.76 1.72 1.72 1.66 1.83
15B 1.89 2.24 1.59 2.02 1.58 2.57
16 2.54 2.81 2.48 2.30 2.01 1.96
27 2.96 2.80 2.29 2.20 2.09 1.81
39A 2.75 1.95 1.90 2.35 2.18 2.07
4 1.42 1.35 1.34 1.31 1.24 1.16
40 2.97 2.73 2.61 2.50 2.35 2.35
46A 2.63 2.45 2.64 2.23 1.95 2.29
9 1.83 1.60 1.69 2.53 1.77 1.42
